from,to
27860681,172391256
27860681,17523060
27860681,203332110
27860681,190162349
27860681,377026626
27860681,16544818
27860681,2471013583
1879922382,1874340199
36683668,48398586
36683668,1615463502
36683668,537204717
36683668,2666429088
36683668,403093403
36683668,18194949
36683668,128594349
36683668,249677516
36683668,2471013583
36683668,4362952695
56696814,36724337
56696814,24674765
56696814,5556142
56696814,1010377351
56696814,1903931239
56696814,53252787
56696814,2471013583
34570810,22817068
34570810,236111720
34570810,29231980
137793729,2471013583
2471013583,958748474
2471013583,96354656
2471013583,4725526294
2471013583,48398586
2471013583,1615463502
2471013583,843893144
2471013583,2666429088
2471013583,403093403
2471013583,18194949
2471013583,128594349
2471013583,249677516
2471013583,140880992
252213991,19754786
252213991,2152311564
252213991,51806227
252213991,2844473201
252213991,41709942
252213991,126841593
252213991,13742502
2152311564,165907536
2152311564,945117079
2152311564,51806227
2152311564,477215959
51806227,165907536
51806227,41709942
51806227,126841593
2844473201,782311618537361408
2844473201,2849043318
2844473201,15932815
2844473201,41709942
2844473201,2425593376
2844473201,126841593
2844473201,13742502
41709942,126841593
126841593,242163443
126841593,13742502
13742502,2425593376
958748474,2666429088
958748474,103874436
2666429088,96354656
2666429088,4725526294
2666429088,48398586
2666429088,403093403
2666429088,18194949
2666429088,128594349
2666429088,4362952695
160569652,757681002
160569652,512509477
160569652,429383854
160569652,502251829
757681002,1577869952
757681002,576362204
757681002,2923457273
757681002,1577196907
757681002,246262362
757681002,252268498
757681002,1294603230
757681002,2221972801
757681002,512509477
757681002,988518714
757681002,706983587
757681002,2609247953
757681002,492590266
757681002,429383854
757681002,725815213
757681002,53252787
757681002,796008597268418560
757681002,765616804710539265
757681002,1339795584
757681002,1310644517855428612
757681002,282700595
757681002,1527639686
757681002,207415700
757681002,979362314
757681002,89561531
757681002,820204081
757681002,294015135
757681002,2415900122
757681002,502251829
757681002,339842145
512509477,1577869952
512509477,252268498
512509477,988518714
512509477,2609247953
512509477,492590266
512509477,2963966560
512509477,725815213
512509477,53252787
512509477,796008597268418560
512509477,765616804710539265
512509477,1310644517855428612
512509477,282700595
512509477,1527639686
512509477,816589143522312192
512509477,979362314
