from,to,weight,color,arrow,tweets,title,hub,width
2278865772,3251759104,14.0,blue,,,<p><br># of Mentions: 14</p>,7.0,1.9343364202676687
2278865772,2802004432,7.0,blue,,,<p><br># of Mentions: 7</p>,7.0,1.6265765616977856
2278865772,27860681,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,103874436,4.0,blue,,,<p><br># of Mentions: 4</p>,7.0,1.4142135623730951
2278865772,731495372024074240,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,321575853,3.0,blue,,,<p><br># of Mentions: 3</p>,7.0,1.3160740129524924
2278865772,25390350,52.0,blue,,,<p><br># of Mentions: 52</p>,7.0,2.6853496142826496
2278865772,1004159533,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
63127726,7403862,1.0,red,to,['1306965815405744129'],<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,7.0,1.0
362343279,7403862,1.0,red,to,['1277599795247529985'],<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,7.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,7.0,1.7320508075688772
280976134,22039274,2.0,blue,,,<p><br># of Mentions: 2</p>,8.0,1.189207115002721
280976134,343890284,1.0,blue,,,<p><br># of Mentions: 1</p>,8.0,1.0
280976134,710200852804456448,65.0,blue,,,<p><br># of Mentions: 65</p>,8.0,2.8394115144336776
280976134,2786900559,2.0,blue,,,<p><br># of Mentions: 2</p>,8.0,1.189207115002721
280976134,20596281,4.0,blue,,,<p><br># of Mentions: 4</p>,8.0,1.4142135623730951
280976134,214102420,8.0,blue,,,<p><br># of Mentions: 8</p>,8.0,1.681792830507429
280976134,157981564,64.0,blue,,,<p><br># of Mentions: 64</p>,8.0,2.8284271247461903
280976134,378231701,39.0,blue,,,<p><br># of Mentions: 39</p>,8.0,2.498999399439384
280976134,204698478,9.0,blue,,,<p><br># of Mentions: 9</p>,8.0,1.7320508075688772
280976134,27860681,1.0,blue,,,<p><br># of Mentions: 1</p>,8.0,1.0
280976134,36683668,3.0,blue,,,<p><br># of Mentions: 3</p>,8.0,1.3160740129524924
280976134,321575853,3.0,blue,,,<p><br># of Mentions: 3</p>,8.0,1.3160740129524924
280976134,25390350,4.0,blue,,,<p><br># of Mentions: 4</p>,8.0,1.4142135623730951
280976134,3000013528,2.0,blue,,,<p><br># of Mentions: 2</p>,8.0,1.189207115002721
280976134,1690612736,1.0,blue,,,<p><br># of Mentions: 1</p>,8.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,8.0,1.7320508075688772
172391256,623013991,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,38689870,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,246262362,2.0,blue,,,<p><br># of Mentions: 2</p>,9.0,1.189207115002721
172391256,622376253,2.0,blue,,,<p><br># of Mentions: 2</p>,9.0,1.189207115002721
172391256,492590266,3.0,blue,,,<p><br># of Mentions: 3</p>,9.0,1.3160740129524924
172391256,796008597268418560,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,18804414,4.0,blue,,,<p><br># of Mentions: 4</p>,9.0,1.4142135623730951
172391256,1199987858,8.0,blue,,,<p><br># of Mentions: 8</p>,9.0,1.681792830507429
172391256,3251759104,3.0,blue,,,<p><br># of Mentions: 3</p>,9.0,1.3160740129524924
172391256,25531164,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,2802004432,2.0,blue,,,<p><br># of Mentions: 2</p>,9.0,1.189207115002721
172391256,27860681,201.0,blue,,,<p><br># of Mentions: 201</p>,9.0,3.7652950586584617
172391256,326071624,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,321575853,8.0,blue,,,<p><br># of Mentions: 8</p>,9.0,1.681792830507429
172391256,25390350,7.0,blue,,,<p><br># of Mentions: 7</p>,9.0,1.6265765616977856
172391256,1008788346,1.0,blue,,,<p><br># of Mentions: 1</p>,9.0,1.0
172391256,502251829,4.0,blue,,,<p><br># of Mentions: 4</p>,9.0,1.4142135623730951
172391256,1008998949691232256,3.0,blue,,,<p><br># of Mentions: 3</p>,9.0,1.3160740129524924
172391256,188368109,4.0,blue,,,<p><br># of Mentions: 4</p>,9.0,1.4142135623730951
172391256,3394193014,3.0,blue,,,<p><br># of Mentions: 3</p>,9.0,1.3160740129524924
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,9.0,1.7320508075688772
