from,to,group,arrows,smooth
192986664,738267072250028036,France Issue,to,1
192986664,77004828,France Issue,to,1
192986664,1337150378,France Issue,to,1
192986664,7403862,France Issue,to,1
278458528,3405598630,France Issue,to,1
3420749333,3405598630,France Issue,to,1
3031502607,1443780630,France Issue,to,1
3031502607,13500732,France Issue,to,1
3031502607,907068831125794816,France Issue,to,1
3031502607,4155531,France Issue,to,1
3031502607,77004828,France Issue,to,1
3031502607,7403862,France Issue,to,1
341796661,3405598630,France Issue,to,1
341796661,17227911,France Issue,to,1
341796661,15046379,France Issue,to,1
341796661,612254136,France Issue,to,1
341796661,77004828,France Issue,to,1
341796661,7403862,France Issue,to,1
341796661,4155531,France Issue,to,1
124512591,898411809283100672,France Issue,to,1
124512591,3405598630,France Issue,to,1
71759599,3405598630,France Issue,to,1
71759599,4155531,France Issue,to,1
71759599,1337150378,France Issue,to,1
71759599,7403862,France Issue,to,1
71759599,13500732,France Issue,to,1
366088660,1337150378,France Issue,to,1
366088660,7389732,France Issue,to,1
366088660,18838389,France Issue,to,1
1928217600,4155531,France Issue,to,1
1928217600,77004828,France Issue,to,1
1928217600,1337150378,France Issue,to,1
1928217600,7403862,France Issue,to,1
351003345,77004828,France Issue,to,1
351003345,1337150378,France Issue,to,1
351003345,4155531,France Issue,to,1
351003345,7403862,France Issue,to,1
765651407336771584,799101616846606336,France Issue,to,1
765651407336771584,907068831125794816,France Issue,to,1
765651407336771584,10130392,France Issue,to,1
765651407336771584,4155531,France Issue,to,1
765651407336771584,3405598630,France Issue,to,1
765651407336771584,77004828,France Issue,to,1
765651407336771584,7403862,France Issue,to,1
765651407336771584,1337150378,France Issue,to,1
4910809053,7403862,France Issue,to,1
912733502,1443780630,France Issue,to,1
2875191506,15046379,France Issue,to,1
66682073,7403862,France Issue,to,1
159161738,7403862,France Issue,to,1
335852075,77004828,France Issue,to,1
335852075,7403862,France Issue,to,1
738063809089286145,784252669695135744,France Issue,to,1
738063809089286145,128826792,France Issue,to,1
738063809089286145,3405598630,France Issue,to,1
738063809089286145,121371581,France Issue,to,1
738063809089286145,130033910,France Issue,to,1
738063809089286145,10130392,France Issue,to,1
738063809089286145,907068831125794816,France Issue,to,1
738063809089286145,4155531,France Issue,to,1
738063809089286145,77004828,France Issue,to,1
738063809089286145,1337150378,France Issue,to,1
738063809089286145,7403862,France Issue,to,1
2165619896,77004828,France Issue,to,1
2165619896,7403862,France Issue,to,1
2894583657,7403862,France Issue,to,1
34235577,1461298158,France Issue,to,1
34235577,15046379,France Issue,to,1
34235577,886221224245854208,France Issue,to,1
34235577,10130392,France Issue,to,1
34235577,759339,France Issue,to,1
34235577,612254136,France Issue,to,1
34235577,907068831125794816,France Issue,to,1
