from,to
14360501,15155750
14360501,19700634
14360501,15873993
14360501,24689052
14360501,2826505214
14360501,50316564
14360501,534255106
14360501,21283221
14360501,183010626
14360501,14600243
14360501,322777832
14360501,4742256987
14360501,780359523349528576
14360501,274085930
14360501,16099079
14360501,19962797
14360501,2843640335
14360501,857620964124884993
14360501,7268972
14360501,14465315
14360501,2491577809
14360501,14054507
14360501,11936322
14360501,111067251
14360501,18897186
773498743,620214322
773498743,249115261
773498743,3178680489
773498743,246262362
773498743,252268498
773498743,317753244
773498743,988518714
773498743,2488774495
773498743,24674765
773498743,1021692544026066944
773498743,23256153
773498743,111041991
773498743,2164756843
773498743,2982660196
773498743,390683609
773498743,181606808
773498743,900016094433431554
773498743,2960108997
773498743,3251759104
773498743,893301
773498743,1096083931
773498743,14489531
773498743,2826505214
773498743,50316564
773498743,534255106
773498743,154561844
773498743,502251829
773498743,317144532
773498743,25734012
773498743,1006166382
3251759104,29753422
3251759104,301666382
3251759104,364511203
3251759104,2871402869
3251759104,249115261
3251759104,1232383705
3251759104,300866884
3251759104,246262362
3251759104,252268498
3251759104,1294603230
3251759104,743768472
3251759104,988518714
3251759104,2488774495
3251759104,2872156241
3251759104,451448044
3251759104,2199880058
3251759104,3314637593
3251759104,268622182
3251759104,16036960
3251759104,1220051541543002117
3251759104,15521401
3251759104,966424544
3251759104,900016094433431554
3251759104,92939251
3251759104,824366518515499008
3251759104,16143105
3251759104,71559612
3251759104,321575853
3251759104,2826505214
3251759104,50316564
3251759104,534255106
3251759104,66682073
3251759104,502251829
3251759104,317144532
3251759104,863603622
19700634,2398458066
19700634,2388894925
19700634,54181373
19700634,1848037524
19700634,15388988
19700634,2199880058
19700634,16272222
19700634,7129072
19700634,824366518515499008
19700634,2826505214
19700634,534255106
19700634,14465315
19700634,525495167
2826505214,137644297
2826505214,15841875
2826505214,1060653216
2826505214,730354615716175872
2826505214,246262362
2826505214,3110800479
2826505214,20519922
2826505214,988518714
2826505214,15388988
2826505214,23256153
2826505214,2199880058
2826505214,716371218
2826505214,111041991
2826505214,2164756843
2826505214,951518598
2826505214,2982660196
2826505214,151395064
2826505214,19639850
2826505214,181606808
2826505214,824366518515499008
2826505214,14489531
2826505214,321575853
2826505214,50316564
2826505214,534255106
2826505214,154561844
2826505214,502251829
2826505214,2843640335
2826505214,517821944
2826505214,14465315
2826505214,317144532
2826505214,25734012
2826505214,1006166382
369038524,364511203
